Franchise,Rank,Release,Lifetime_Gross,Max_Theaters,Opening_Gross,Open_Theaters,Release_Date,Distributor
Marvel Cinematic Universe,1,Avengers: Endgame,858373000.0,4662.0,357115007.0,"4,662","Apr 26, 2019",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,2,Black Panther,700059566.0,4084.0,202003951.0,"4,020","Feb 16, 2018",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,3,Avengers: Infinity War,678815482.0,4474.0,257698183.0,"4,474","Apr 27, 2018",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,4,The Avengers,623357910.0,4349.0,207438708.0,"4,349","May 4, 2012",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,5,Avengers: Age of Ultron,459005868.0,4276.0,191271109.0,"4,276","May 1, 2015",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,6,Captain Marvel,426829839.0,4310.0,153433423.0,"4,310","Mar 8, 2019",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,7,Iron Man 3,409013994.0,4253.0,174144585.0,"4,253","May 3, 2013",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,8,Captain America: Civil War,408084349.0,4226.0,179139142.0,"4,226","May 6, 2016",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,9,Spider-Man: Far from Home,390532085.0,4634.0,92579212.0,"4,634","Jul 2, 2019",Sony Pictures Releasing
Marvel Cinematic Universe,10,Guardians of the Galaxy Vol. 2,389813101.0,4347.0,146510104.0,"4,347","May 5, 2017",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,11,Spider-Man: Homecoming,334201140.0,4348.0,117027503.0,"4,348","Jul 7, 2017",Sony Pictures Releasing
Marvel Cinematic Universe,12,Guardians of the Galaxy,333176600.0,4088.0,94320883.0,"4,080","Aug 1, 2014",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,13,Iron Man,318604126.0,4154.0,98618668.0,"4,105","May 2, 2008",Paramount Pictures
Marvel Cinematic Universe,14,Thor: Ragnarok,315058289.0,4080.0,122744989.0,"4,080","Nov 3, 2017",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,15,Iron Man 2,312433331.0,4390.0,128122480.0,"4,380","May 7, 2010",Paramount Pictures
Marvel Cinematic Universe,16,Captain America: The Winter Soldier,259766572.0,3938.0,95023721.0,"3,938","Apr 4, 2014",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,17,Doctor Strange,232641920.0,3882.0,85058311.0,"3,882","Nov 4, 2016",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,18,Ant-Man and the Wasp,216648740.0,4206.0,75812205.0,"4,206","Jul 6, 2018",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,19,Thor: The Dark World,206362140.0,3841.0,85737841.0,"3,841","Nov 8, 2013",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,20,Thor,181030624.0,3963.0,65723338.0,"3,955","May 6, 2011",Paramount Pictures
Marvel Cinematic Universe,21,Ant-Man,180202163.0,3868.0,57225526.0,"3,856","Jul 17, 2015",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,22,Captain America: The First Avenger,176654505.0,3715.0,65058524.0,"3,715","Jul 22, 2011",Paramount Pictures
Marvel Cinematic Universe,23,The Incredible Hulk,134806913.0,3508.0,55414050.0,"3,505","Jun 13, 2008",Universal Pictures
Marvel Cinematic Universe,-,Untitled Marvel (Feb 2023),,,,-,"Feb 17, 2023",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Untitled Marvel (May 2023),,,,-,"May 5, 2023",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Untitled Marvel (July 2023),,,,-,"Jul 28, 2023",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Untitled Marvel (Nov 2023),,,,-,"Nov 3, 2023",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Black Widow,,,,-,"Nov 6, 2020",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Eternals,,,,-,"Feb 12, 2021",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Doctor Strange in the Multiverse of Madness,,,,-,"Nov 5, 2021",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Shang-Chi and the Legend of the Ten Rings,,,,-,"May 7, 2021",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Thor: Love and Thunder,,,,-,"Feb 18, 2022",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Black Panther II,,,,-,"May 6, 2022",Walt Disney Studios Motion Pictures
Marvel Cinematic Universe,-,Untitled Spider-Man Sequel,,,,-,"Jul 16, 2021",Sony Pictures Releasing
Marvel Cinematic Universe,-,Untitled Marvel (Oct 2022),,,,-,"Oct 7, 2022",Walt Disney Studios Motion Pictures
Star Wars,1,Star Wars: Episode VII - The Force Awakens,936662225.0,4134.0,247966675.0,"4,134","Dec 18, 2015",Walt Disney Studios Motion Pictures
