Franchise,No_of_Movies,Domestic_Box_Office,Infl_Adj_Dom_Box_Office,Worldwide_Box_Office,First_Year,Last_Year,No_of_Years
Marvel Cinematic Universe,30,8545426433,9102945801,22587518639,2008,2022,14.0
Star Wars,15,5079119579,8039797255,10324020963,1977,2026,49.0
James Bond,27,2136666623,5931136027,7119674009,1963,2020,57.0
Batman,22,2786778902,3949355696,6052346905,1989,2021,32.0
Harry Potter,12,2786938291,3638704111,9195390708,2001,2021,20.0
Spider-Man,10,2711115724,3292639145,7220232624,2002,2019,17.0
X-Men,14,2434609696,2878961702,6033624526,2000,2020,20.0
Avengers,4,2619552260,2746635625,7767987269,2012,2019,7.0
Jurassic Park,6,1882766527,2705746069,5009038251,1993,2021,28.0
Star Trek,13,1400952879,2594747188,2267036257,1979,2016,37.0
Peter Jackson's Lord of the Rings,7,1852304517,2520333945,5858102224,2001,2018,17.0
DC Extended Universe,23,2147685393,2227584552,5473505766,2013,2022,9.0
Indiana Jones,5,919839275,2063482532,1961339569,1981,2022,41.0
Superman,9,1152698852,2050758403,2554512067,1978,2016,38.0
Fast and the Furious,11,1690752038,1993550748,5901315134,2001,2021,20.0
Shrek,8,1419598493,1952505259,3546160710,2001,2022,21.0
Rocky,8,792039875,1942429850,1513939512,1976,2018,42.0
Pirates of the Caribbean,5,1451769807,1912071782,4517852068,2003,2017,14.0
Transformers,7,1582401601,1863419555,4846579018,1986,2018,32.0
Toy Story,5,1317393746,1787870306,3054046196,1995,2019,24.0
Jaws,4,420895891,1714929704,737573891,1975,1987,12.0
Hunger Games,4,1451538526,1622424771,2958353344,2012,2015,3.0
Twilight,6,1365922346,1610862622,3317470739,2008,2012,4.0
Mission: Impossible,8,1154492507,1593972703,3577703029,1996,2022,26.0
Dark Knight Trilogy,3,1190225564,1483447867,2448599772,2005,2012,7.0
Peter Pan,6,355579537,1467907310,708714979,1953,2009,56.0
Planet of the Apes,9,793882111,1374716792,2115119208,1968,2017,49.0
The Lion King,4,965423326,1371188452,2643158262,1994,2019,25.0
Despicable Me,6,1220249440,1334741729,3713742291,2010,2021,11.0
Lady and the Tramp,2,93600000,1275667761,93600000,1955,2001,46.0
Exorcist,5,322436443,1274216475,522446253,1973,2005,32.0
Billy Jack,3,223000000,1247956316,223000000,1967,1974,7.0
Iron Man,3,1040029729,1223260072,2421720208,2008,2013,5.0
Mary Poppins,2,274230583,1173785575,451834102,1964,2018,54.0
King Kong,6,453458502,1111360749,1216915731,1933,2020,87.0
Alien,8,591630347,1110876434,1648542927,1979,2017,38.0
Men in Black,5,704184140,1087370156,1940818524,1997,2019,22.0
