Release_Date,Title,Production_Budget,Opening_Weekend,Domestic_Box_Office,Worldwide_Box_Office
"Apr 26, 2019",Avengers: Endgame,400000000.0,357115007.0,858373000.0,2797800564.0
"Apr 27, 2018",Avengers: Infinity War,300000000.0,257698183.0,678815482.0,2048359754.0
"May 4, 2012",The Avengers,225000000.0,207438708.0,623357910.0,1518812988.0
"May 1, 2015",Avengers: Age of Ultron,365000000.0,191271109.0,459005868.0,1403013963.0
"Feb 16, 2018",Black Panther,200000000.0,202003951.0,700059566.0,1346913161.0
"May 3, 2013",Iron Man 3,200000000.0,174144585.0,408992272.0,1215392272.0
"May 6, 2016",Captain America: Civil War,250000000.0,179139142.0,408084349.0,1153284349.0
"Mar 8, 2019",Captain Marvel,175000000.0,153433423.0,426829839.0,1129729839.0
"Jul 2, 2019",Spider-Man: Far From Home,160000000.0,92579212.0,390532085.0,1128991628.0
"Jul 7, 2017",Spider-Man: Homecoming,175000000.0,117027503.0,334201140.0,880166350.0
"May 5, 2017",Guardians of the Galaxy Vol 2,200000000.0,146510104.0,389813101.0,869113101.0
"Nov 3, 2017",Thor: Ragnarok,180000000.0,122744989.0,315058289.0,853958289.0
"Aug 1, 2014",Guardians of the Galaxy,170000000.0,94320883.0,333172112.0,772772112.0
"Apr 4, 2014",Captain America: The Winter Soldier,170000000.0,95023721.0,259746958.0,714401889.0
"Nov 4, 2016",Doctor Strange,165000000.0,85058311.0,232641920.0,676404566.0
"Nov 8, 2013",Thor: The Dark World,150000000.0,85737841.0,206362140.0,644602516.0
"Jul 6, 2018",Ant-Man and the Wasp,130000000.0,75812205.0,216648740.0,623144660.0
"May 7, 2010",Iron Man 2,170000000.0,128122480.0,312433331.0,621156389.0
"May 2, 2008",Iron Man,186000000.0,102118668.0,318604126.0,585171547.0
"Jul 17, 2015",Ant-Man,130000000.0,57225526.0,180202163.0,518858449.0
"May 6, 2011",Thor,150000000.0,65723338.0,181030624.0,449326618.0
"Jul 22, 2011",Captain America: The First Avenger,140000000.0,65058524.0,176654505.0,370569776.0
"Jun 13, 2008",The Incredible Hulk,137500000.0,55414050.0,134806913.0,265573859.0
"May 6, 2022",Black Panther II,,,,
"Jul 16, 2021",Spider-Man: Homecoming 3,,,,
"May 7, 2021",Shang Chi and the Legend of the Ten Rings,,,,
"Feb 12, 2021",The Eternals,,,,
"Nov 6, 2020",Black Widow,,,,
